company,product,sales2,z_sales2,currentprice,z_currentprice,numberofstars2,averagerating2,numberofreviews2,z_numberofreviews2,freeshipping2,foreign,bestseller2,etsysince2,dayssincelastreview,z_dayssincelastreview,daysuntilship,z_daysuntilship,betabestseller2
360JewelsElite,"16 gauge hoop earrings, 16 gauge cartilage earrings, men's hoop earrings, gauged earrings, 16 gauge hoop,  E140 16G",13124,-.0799214436799228,49,.055527543345532,5,4.78,1976,-.1586249385194866,0,0,0,2010,14,-.7612157419006457,1.5,-.4977520000536101,5410.009065224322
360JewelsElite,Conch Earring Triangle -  Gauge Earring - Ear Cartilage Piercing - Customization Available - 14g 16g 18g 20g pin - Single Earring E235,13124,-.0799214436799228,54,.0827883896967044,5,4.7815,1977,-.1584186403042263,0,0,0,2010,130,-.0756010268587422,1.5,-.4977520000536101,5410.009065224322
360JewelsElite,Men's Hoop Earrings - Men's Earrings - Black Gold Hoop Earrings - Male Etsy Earrings - Earrings for Guys - Large Polished Hoop E190SB,13124,-.0799214436799228,46,.0391710355348285,5,4.7815,1977,-.1584186403042263,0,0,0,2010,153,.0603398218133593,1.5,-.4977520000536101,5410.009065224322
3DPrintedSkull,Dinosaur Earrings - Deinonychus Velociraptor Dinosaur Skull Science Jewelry 3D Printed Skull,2028,-.4661527653049228,72.989998,.1863250724913672,5,5,426,-.4783871721729753,0,0,0,2013,11,-.7789471569448329,8.5,.7585271441789763,5410.009065224322
3DPrintedSkull,Impala Animal Skull Jewelry 3D Printed Skull Earrings,2028,-.4661527653049228,72.989998,.1863250724913672,5,5,426,-.4783871721729753,0,0,0,2013,11,-.7789471569448329,8.5,.7585271441789763,5410.009065224322
3DPrintedSkull,Mouse Bones Mouse Jaw Earrings Bronze Mandible and Teeth Jewelry,2028,-.4661527653049228,72.989998,.1863250724913672,5,5,426,-.4783871721729753,0,0,0,2013,11,-.7789471569448329,8.5,.7585271441789763,5410.009065224322
3DPrintedSkull,Pair Animal Skull Earrings Mongoose 3D Printed Animal Skull Jewelry,2028,-.4661527653049228,72.989998,.1863250724913672,5,5,426,-.4783871721729753,0,0,0,2013,11,-.7789471569448329,8.5,.7585271441789763,5410.009065224322
3DPrintedSkull,Ram Jewelry Ram Skull Earrings 3D Printed Animal Skull Jewelry in Bronze,2028,-.4661527653049228,72.989998,.1863250724913672,5,5,426,-.4783871721729753,0,0,0,2013,105,-.2233628188936352,8.5,.7585271441789763,5410.009065224322
3DPrintedSkull,Skull Jewelry Hyena Skull 3D Printed Earrings Animal Skull Earrings,2028,-.4661527653049228,72.989998,.1863250724913672,5,5,426,-.4783871721729753,0,0,0,2013,105,-.2233628188936352,8.5,.7585271441789763,5410.009065224322
3DPrintedSkull,Talon Earring Bird Claw Jewelry Bronze Bird Claw Earrings,2028,-.4661527653049228,72.989998,.1863250724913672,5,5,426,-.4783871721729753,0,0,0,2013,11,-.7789471569448329,8.5,.7585271441789763,5410.009065224322
3DPrintedSkull,Weird Earrings 3D Printed Jewelry Hybrid Animal Antler Skull Earrings,2028,-.4661527653049228,72.989998,.1863250724913672,5,5,426,-.4783871721729753,0,0,0,2013,11,-.7789471569448329,8.5,.7585271441789763,5410.009065224322
3EGiftsByKaren,"Gin earrings, mismatched earrings, gin and slice, gin and glass, gin gift for her, novelty earrings, sterling silver earrings",2189,-.4605486518602918,4.6300001,-.1863852065508209,5,4.925,228,-.5192342187945177,0,1,0,2016,5,-.8144099870332072,2,-.4080177754655682,5410.009065224322
4Beautifulkeys,Heart Double piercing earring,152,-.5314528697901877,21.17,-.0962063270291263,5,4.75,18,-.5625568439991839,0,1,0,2015,17,-.7434843268564585,4,-.0490808771134007,5410.009065224322
4madgirls,Beautiful Round Shell Earrings - Shell Earrings - Round Earrings - Pearl White Shell Earrings,360,-.524212772917621,14.01,-.1352438581720702,5,5,52,-.5555427046803332,0,1,0,2016,412,1.591151987294851,6,.3098560212387669,5410.009065224322
50emeParallele,Magnifiques boucles d'oreilles en plaqué argent et cuir bleu. Beautiful earrings plated silver and feathers genuine leather.,148,-.5315921024223524,22.34,-.0898272885669844,5,4.8,31,-.5598749672007998,0,1,0,2015,9,-.7907681003076242,2,-.4080177754655682,5410.009065224322
53Countesses,Burgundy Bridesmaids Earrings / Plum Earrings in Gold / Cabernet Earrings / Burgundy Earrings / Plum bridesmaid earrings / Eggplant Earrings,2875,-.4366702554440382,35,-.0208028264377508,5,4.8333,516,-.4598203327995469,0,1,0,2012,74,-.4065874410169025,3,-.2285493262894844,5410.009065224322
53Countesses,Gray Bridal Earrings / Gray Bridesmaids Jewelry / Charcoal Gray Earrings / Cubic Zirconia Framed Earrings / Grey Bridesmaids Earrings,2875,-.4366702554440382,34.799999,-.0218932644514728,5,4.8333,516,-.4598203327995469,0,1,0,2012,74,-.4065874410169025,3,-.2285493262894844,5410.009065224322
5thElementYoga,"Women's Sterling Silver Ganesha Earrings // Jewelry, Women's Jewelry, Yoga Jewelry, Earrings",15242,-.0061977649486908,30.6,-.0447923691469451,5,4.9311,3756,.2085858846438747,1,0,0,2011,79,-.3770350826099239,2,-.4080177754655682,5410.009065224322
70Knots,Amazonite Stone Plugs - Double Flared - 1 Pair - 6mm - 8mm - 10mm - 11mm - 12.7mm - 14mm - 16mm - 19mm - 22mm - 25mm - Organic,15972,.019212190421375,8.1400003,-.1672480911643954,5,4.9184,3956,.2498455276959377,0,0,0,2014,9,-.7907681003076242,2.5,-.3182835508775263,5410.009065224322
70Knots,Amethyst Stone Plugs - Double Flared - 1 Pair - 6mm - 8mm - 10mm - 11mm - 12.7mm - 14mm - 16mm - 19mm - 22mm - 25mm - Organic,15960,.0187944925248807,9.2200003,-.1613597487685096,5,4.9183,3955,.2496392294806774,0,0,0,2014,60,-.4893340445564426,2.5,-.3182835508775263,5410.009065224322
70Knots,BLUE Cracked Glass Plugs - Double Flared - 6mm - 8mm - 10mm - 11mm - 12.7mm - 14mm - 16mm - 19mm - 22mm - 25mm - Organic,15967,.019038149631169,8.8599997,-.1633225330335341,5,4.9183,3955,.2496392294806774,0,0,0,2014,32,-.6548272516355227,2.5,-.3182835508775263,5410.009065224322
70Knots,"Black Obsidian Stone Plugs - Double Flared - 1 Pair - 6mm, 8mm, 10mm, 11mm, 12.7mm, 14mm, 16mm, 19mm, 22mm, 25mm - Organic",15967,.019038149631169,8.5,-.1652853120989647,5,4.9183,3955,.2496392294806774,0,0,1,2014,40,-.6075434781843569,2.5,-.3182835508775263,5410.009065224322
70Knots,Blue Tiger's Eye Stone Plugs - Double Flared - 1 Pair - 6mm - 8mm - 10mm - 11mm - 12.7mm - 14mm - 16mm - 19mm - 22mm - 25mm - Organic,15960,.0187944925248807,8.5900002,-.1647946160327086,5,4.9183,3955,.2496392294806774,0,0,0,2014,19,-.7316633834936671,2.5,-.3182835508775263,5410.009065224322
70Knots,CONCAVE Rainbow Fluorite Plugs - Double Flared - 1 Pair - 12.7mm - 14mm - 16mm - 19mm - 22mm - 25mm - Organic,15960,.0187944925248807,11.49,-.1489833272288661,5,4.9183,3955,.2496392294806774,0,0,0,2014,14,-.7612157419006457,2.5,-.3182835508775263,5410.009065224322
70Knots,Leopard Jasper Stone Plugs - Double Flared - 1 Pair - 6mm - 8mm - 10mm - 11mm - 12.7mm - 14mm - 16mm - 19mm - 22mm - 25mm - Organic,15960,.0187944925248807,7.1500001,-.1726457400938219,5,4.9183,3955,.2496392294806774,0,0,0,2014,4,-.8203204587146029,2.5,-.3182835508775263,5410.009065224322
70Knots,Opalite Plugs - Double Flared - 1 Pair - 6mm - 8mm - 10mm - 11mm - 12.7mm - 14mm - 16mm - 19mm - 22mm - 25mm,15967,.019038149631169,7.2800002,-.1719369574647402,5,4.9183,3955,.2496392294806774,0,0,0,2014,7,-.8025890436704157,2.5,-.3182835508775263,5410.009065224322
70Knots,Rose Quartz Stone Plugs - Double Flared - 1 Pair - 6mm - 8mm - 10mm - 11mm - 12.7mm - 14mm - 16mm - 19mm - 22mm - 25mm - Organic,15969,.0191077659472514,7.6900001,-.169701568895879,5,4.9184,3956,.2498455276959377,0,0,1,2014,8,-.79667857198902,2.5,-.3182835508775263,5410.009065224322
70Knots,TEARDROP Amethyst Stone Plugs - Double Flared - 1 Pair - 10mm - 11mm - 12.7mm - 14mm - 16mm - 19mm - 22mm - 25mm - Organic,15961,.0188293006829219,11.11,-.1510551521755065,5,4.9183,3955,.2496392294806774,0,0,0,2014,6,-.8084995153518114,2.5,-.3182835508775263,5410.009065224322
70Knots,TEARDROP BLACK Cracked Glass Plugs - Double Flared - 1 Pair - 6mm - 8mm - 10mm - 11mm - 12.7mm - 14mm - 16mm - 19mm - 22mm - 25mm - Organic,15967,.019038149631169,10.12,-.1564527985051361,5,4.9183,3955,.2496392294806774,0,0,0,2014,25,-.6962005534052927,2.5,-.3182835508775263,5410.009065224322
70Knots,TEARDROP Black Obsidian Stone Plugs - Double Flared - 1 Pair - 6mm - 8mm - 10mm - 11mm - 12.7mm - 14mm - 16mm - 19mm - 22mm - 25mm - Organic,15967,.019038149631169,10.39,-.1549807103063678,5,4.9183,3955,.2496392294806774,0,0,0,2014,33,-.648916779954127,2.5,-.3182835508775263,5410.009065224322
70Knots,"TUNNELS Black Obsidian Stone Plugs - Double Flared - 1 Pair - 6mm, 8mm, 10mm, 11mm, 12.7mm, 14mm, 16mm, 19mm, 22mm, 25mm - Organic",15961,.0188293006829219,9.3500004,-.1606509661394279,5,4.9183,3955,.2496392294806774,0,0,1,2014,11,-.7789471569448329,2.5,-.3182835508775263,5410.009065224322
70Knots,"TUNNELS White Quartz Stone Plugs - Double Flared - 1 Pair - 6mm, 8mm, 10mm, 11mm, 12.7mm, 14mm, 16mm, 19mm, 22mm, 25mm - Organic",15960,.0187944925248807,9.1300001,-.1618504448347657,5,4.9183,3955,.2496392294806774,0,0,1,2014,16,-.7493947985378543,2.5,-.3182835508775263,5410.009065224322
737jewelry,Arrow Earrings - Silver Arrow Earrings - Native American Earrings - Tribal Earrings - Minimalist Jewelry - Gift for Her - Arrow Earwires,325,-.5254310584490626,9.9499998,-.1573796676970435,5,4.9412,72,-.5514167403751269,0,0,0,2017,228,.5036251979180383,4,-.0490808771134007,5410.009065224322
737jewelry,Fairy Wand Silver Earrings - Fairy Wand Earrings - Magical Wand Earrings - Fairy Godmother Earrings - Fairy Jewelry - Magical Earrings,325,-.5254310584490626,9.9499998,-.1573796676970435,5,4.9412,72,-.5514167403751269,0,0,0,2017,596,2.678678776671663,4,-.0490808771134007,5410.009065224322
737jewelry,"Wine Earrings, Wine Glass Earrings, Wine Jewelry, Wine Gift, Red Wine Earrings, Mom Gift, Gifts for Her, Red Wine Jewelry, Mom Gift",325,-.5254310584490626,9.9499998,-.1573796676970435,5,4.9412,72,-.5514167403751269,0,0,0,2017,128,-.0874219702215336,4,-.0490808771134007,5410.009065224322
7thHeaven2,Vintage 925 Sterling Silver Fleur De Lis Stud Earrings,16510,.037938979447533,7,-.1734635660043165,5,4.9397,5310,.5291733111584046,0,0,0,2012,15,-.75530527021925,1.5,-.4977520000536101,5410.009065224322
7thHeaven2,Vintage 925 Sterling Silver Hawaiian Shaka Stud Earrings,16510,.037938979447533,10,-.157107058193613,5,4.9397,5310,.5291733111584046,0,0,1,2012,2,-.8321414020773943,1.5,-.4977520000536101,5410.009065224322
8BitBijou,"Model System Earrings (Mouse, Fruit Fly, or Sea Elegans with gfp)",611,-.5154759252492833,6.9899998,-.1735180889449213,5,4.9608,181,-.5289302349117525,0,0,0,2017,158,.0898921802203379,1,-.5874862246416519,5410.009065224322
8BitEarrings,"Goomba Inspired Earrings - Geeky Jewelry / Gamer Girl Earrings / Geeky Accessories / Handmade Mini Hama, Perler Earrings",403,-.52271602212185,19.450001,-.1055840544302221,5,5,161,-.5330561992169588,0,1,0,2015,8,-.79667857198902,6,.3098560212387669,5410.009065224322
925usa,Tanzanite & Blue Fire Opal Inlay Genuine 925 Sterling Silver Stud Post Earrings,12047,-.1174098298902801,45,.033718866264594,5,4.8833,2596,-.0307200450580911,1,0,0,2015,542,2.359513305876294,1,-.5874862246416519,5410.009065224322
9ElizabethStreet,"Boho Fringe Earrings: Custom Made Ladder Yarn Earrings, Fiber Earrings, Handmade in the USA, Extensive Color Selection",1410,-.4876642069743757,11.25,-.1502918466058199,5,4.9643,343,-.4955099240395814,0,0,0,2012,24,-.7021110250866884,1.5,-.4977520000536101,5410.009065224322
ABitofLoveWedding,Gold Earrings Gold Bridal Earrings Crystal Earrings Beaded Earrings Bridal Earrings Boho Earrings Bohemian Earrings #138,5919,-.330714222366668,35,-.0208028264377508,5,4.9515,1131,-.332946930414453,0,0,0,2014,7,-.8025890436704157,2,-.4080177754655682,5410.009065224322
ABrilliantImpression,Tie The Knot Earrings. Sterling Silver Tie The Knot Earrings. Tiny Bow Earrings. Cute Bow Studs. Wedding.Bride Earrings.Tie The Knot Jewelry,5796,-.3349956258057339,21.200001,-.0960427582073117,5,5,850,-.3909167289026016,1,0,0,2012,3,-.8262309303959986,2,-.4080177754655682,5410.009065224322
ABrilliantImpression,Tiny XO Stud Earrings. Sterling Silver. Rose Gold Ear Studs. Hugs & Kisses Earrings. Unisex Ear Studs. Gift for Her. Everyday Earrings.,5795,-.3350304339637751,17.85,-.1143075273424348,5,5,850,-.3909167289026016,1,0,0,2012,6,-.8084995153518114,2,-.4080177754655682,5410.009065224322
ADORNMENTSCOLLECTION,Earrings - Gray Pearls - Majorica Pearls - Sterling Silver - Filigree,229,-.5287726416210163,20,-.1025853654912681,5,5,64,-.5530671260972094,0,0,0,2011,112,-.1819895171238652,4,-.0490808771134007,5410.009065224322
