company,product,sales2,z_sales2,currentprice,z_currentprice,numberofstars2,averagerating2,numberofreviews2,z_numberofreviews2,freeshipping2,foreign,bestseller2,etsysince2,dayssincelastreview,z_dayssincelastreview,daysuntilship,z_daysuntilship,betabestseller2,lqtbestseller,uqtnonbestseller
ranaway,Forest Ivy Ear Cuff ' Left Ear ',9967,-.189810798615947,15.99,-.1244485655128109,5,4.9317,1901,-.1740973046640102,0,0,0,2010,18,-.7375738551750628,2,-.4080177754655682,5410.009065224322,8388,13471
ranaway,Egyptian Scarab Ear Cuff ' left ear ',9967,-.189810798615947,15.99,-.1244485655128109,5,4.9317,1901,-.1740973046640102,0,0,0,2010,472,1.945780288178594,2,-.4080177754655682,5410.009065224322,8388,13471
racheltreasures,Yad or Torah pointer earrings STERLING SILVER PLATED charms,9030,-.2224260427005383,10,-.157107058193613,5,4.8966,1316,-.2947817605912947,0,0,0,2008,1,-.8380518737587901,1.5,-.4977520000536101,5410.009065224322,8388,13471
racheltreasures,Seder Plate Passover Judaica charm earrings Pesach Judaic gift STERLING SILVER PLATED charm optional mismatch with Matzah,9030,-.2224260427005383,10,-.157107058193613,5,4.8966,1316,-.2947817605912947,0,0,0,2008,43,-.5898120631401698,1.5,-.4977520000536101,5410.009065224322,8388,13471
promisemeeverything2,"Gnome Earrings, Sapphire Gnome Earrings, Sapphire Crystal Earrings, Gnome Gift, Dangle Earrings, Gifts for Her, 160",13420,-.0696182288997317,20.950001,-.0974058005248703,5,4.9103,1657,-.2244340691875272,0,0,0,2015,156,.0780712368575465,1.5,-.4977520000536101,5410.009065224322,8388,13471
promisemeeverything2,"Giraffe Earrings, Cute Giraffe Earrings, Topaz Crystal Giraffe Earrings, Animal Earrings, Gifts for Her, 670",13419,-.0696530370577729,18.950001,-.1083101390653393,5,4.9103,1657,-.2244340691875272,0,0,0,2015,321,1.05329906428784,1.5,-.4977520000536101,5410.009065224322,8388,13471
phoenixmtncreations,Double Piercing Earrings | Silver Ball Hoops for 2 Piercings |Argentium Silver Hoops | Double Hoops | Double Spiral Earrings Set,8994,-.223679136390021,32,-.0371593342484543,5,4.9436,2128,-.1272676097999186,1,0,0,2010,18,-.7375738551750628,6,.3098560212387669,5410.009065224322,8388,13471
peachtreelane,mothers dayTiny Brass Bee Earrings | Honeybee Post Earrings | Bridesmaid Gifts | Bee Themed Wedding | Gold Bee Earrings | Lemonade Beyonce,11901,-.1224918209642933,14,-.135298381112675,5,4.8469,2587,-.0325767289954339,1,0,0,2009,177,.2021911421668566,4,-.0490808771134007,5410.009065224322,8388,13471
peachtreelane,CYBER MONDAY SALE Tiny Sterling Silver Bee Earrings | Honeybee Post Earrings | Bridesmaid Gifts | Bee Themed Wedding Surgical Steel Earring,11901,-.1224918209642933,14,-.135298381112675,5,4.8469,2587,-.0325767289954339,1,0,0,2009,29,-.6725586666797099,4,-.0490808771134007,5410.009065224322,8388,13471
peacefrogdesigns,White Feather Earrings - Beaded Crystal Feather Earrings - Summer Snows,11664,-.1307413544200544,16,-.1243940425722061,5,4.8897,2597,-.0305137468428308,1,0,0,2009,85,-.3415722525215496,17.5,2.37374318676373,5410.009065224322,8388,13471
peacefrogdesigns,Feather Earrings - Shades of Deep Purple and Blue - Midnight Rainbow,11664,-.1307413544200544,18,-.1134897040317371,5,4.8889,2597,-.0305137468428308,1,0,0,2009,77,-.3888560259727154,17.5,2.37374318676373,5410.009065224322,8388,13471
peacefrogdesigns,Feather Earrings - Purple Rooster Feathers - Summer Violet,11665,-.1307065462620132,16,-.1243940425722061,5,4.8889,2597,-.0305137468428308,1,0,0,2009,61,-.4834235728750468,17.5,2.37374318676373,5410.009065224322,8388,13471
peacefrogdesigns,"Feather Earrings - Natural Colors, Brown Striped Rooster and Pheasant Feathers",11664,-.1307413544200544,20,-.1025853654912681,5,4.8897,2597,-.0305137468428308,1,0,0,2009,6,-.8084995153518114,17.5,2.37374318676373,5410.009065224322,8388,13471
peacefrogdesigns,"Feather Earrings - Natural Colors, Brown Striped Rooster and Pheasant Feathers",11664,-.1307413544200544,20,-.1025853654912681,5,4.8893,2597,-.0305137468428308,1,0,0,2009,31,-.6607377233169185,17.5,2.37374318676373,5410.009065224322,8388,13471
peacefrogdesigns,Feather Earrings - Natural Beaded Feather Jewelry - Finch,11664,-.1307413544200544,18,-.1134897040317371,5,4.8889,2597,-.0305137468428308,1,0,0,2009,141,-.0105858383633893,17.5,2.37374318676373,5410.009065224322,8388,13471
peacefrogdesigns,Feather Earrings - Guinea Feather Earrings - Polka Dot Feather Earrings - Dalmatian,11664,-.1307413544200544,16,-.1243940425722061,5,4.8889,2597,-.0305137468428308,1,0,0,2009,29,-.6725586666797099,17.5,2.37374318676373,5410.009065224322,8388,13471
peacefrogdesigns,Feather Earrings - Brown and Gray Beaded Feather Earrings,11664,-.1307413544200544,18,-.1134897040317371,5,4.8897,2597,-.0305137468428308,1,0,0,2009,1,-.8380518737587901,17.5,2.37374318676373,5410.009065224322,8388,13471
peacefrogdesigns,Extra Long Asymmetrical Feather Earrings,11664,-.1307413544200544,34,-.0262549957079853,5,4.8897,2597,-.0305137468428308,1,0,0,2009,74,-.4065874410169025,17.5,2.37374318676373,5410.009065224322,8388,13471
paperfacestudio,White Cloud Earrings,11763,-.1272953467739769,15,-.1298462118424406,5,4.9091,1933,-.1674957617756801,1,0,0,2010,298,.9173582156157387,10.5,1.117464042531144,5410.009065224322,8388,13471
paperfacestudio,Black Sheep Earrings,11763,-.1272953467739769,15,-.1298462118424406,5,4.9091,1933,-.1674957617756801,1,0,0,2010,94,-.2883780073889881,2,-.4080177754655682,5410.009065224322,8388,13471
nikajewellerybox,tree of life earrings silver earrings fashion earrings handmade earrings silver tree earrings dangle earrings gift for her drop earrings,13269,-.0748742607639508,6.5999999,-.1756444342323696,5,4.8217,1665,-.2227836834654446,0,1,0,2014,27,-.6843796100425014,1.5,-.4977520000536101,5410.009065224322,8388,13471
nikajewellerybox,elephant earrings silver earrings elephant jewellery simple earrings fashion earrings handmade jewellery dangle earrings gift for women,13269,-.0748742607639508,5.9499998,-.1791883447779814,5,4.8217,1665,-.2227836834654446,0,1,0,2014,183,.2376539722552309,1.5,-.4977520000536101,5410.009065224322,8388,13471
mlejewelry,"Swarovski Crystal Stud Earrings, Crystal Marsala Earrings, Burgundy Earrings Merlot, Burgundy Stud Earrings, Post Earrings, Bridesmaid Gifts",12379,-.1058535214206064,6.0999999,-.1783705188674869,5,4.8396,2481,-.0544443398130273,0,0,0,2011,230,.5154461412808298,2,-.4080177754655682,5410.009065224322,8388,13471
mlejewelry,"Sterling Silver Hoop Earrings, Small Silver Hoop Earrings, Silver Hoops, Sterling Silver, Sterling Silver Hoops, Silver Hoop Earrings",12379,-.1058535214206064,20.24,-.1012768461143144,5,4.8411,2482,-.054238041597767,0,0,0,2011,17,-.7434843268564585,2,-.4080177754655682,5410.009065224322,8388,13471
mlejewelry,"Orange Earrings, Green Earrings, Clear, Tangerine, Soft Green, Light Green, Carnelian, Glass, Gold, Bridesmaid Earrings, Bridesmaid Gifts",12379,-.1058535214206064,28.25,-.0576049690118336,5,4.8411,2482,-.054238041597767,0,0,0,2011,1,-.8380518737587901,2,-.4080177754655682,5410.009065224322,8388,13471
mlejewelry,"Mint Earrings, Aqua Earrings, Dusty Green, Light Mint Green Earrings, Silver, Bridesmaid Earrings, Bridesmaid Gift, Bridesmaid Jewelry",12379,-.1058535214206064,27.4,-.0622393149713704,5,4.8411,2482,-.054238041597767,0,0,0,2011,419,1.632525289064621,2,-.4080177754655682,5410.009065224322,8388,13471
